;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
ABADONE     		64	128
*	W_328       	0	0
BLANK       		64	128
*	W_328       	0	127
BOOKS01     		64	128
*	W_138       	0	0
BOOKS02     		128	128
*	W_052       	0	0
BOOKS03     		128	128
*	W_055       	0	0
BOOKS04     		128	128
*	W_056       	0	0
BOSSK1      		64	32
*	W_326       	0	0
BOSSK2      		64	32
*	W_325       	0	0
BRASS1      		128	128
*	W_324       	0	0
BRASS3      		128	128
*	W_320       	0	0
BRASS4      		128	128
*	W_321       	0	0
CASTLE01    		64	128
*	W_094       	0	0
CASTLE02    		64	128
*	W_095       	0	0
CASTLE03    		64	128
*	W_096       	0	0
CASTLE04    		64	128
*	W_094       	0	0
*	W_205       	0	84
CASTLE05    		64	128
*	W_094       	0	0
*	W_206       	0	84
CASTLE06    		64	128
*	W_094       	0	0
*	W_204       	0	84
CASTLE07    		128	128
*	W_071       	0	0
CASTLE08    		128	128
*	W_021       	0	0
CASTLE09    		128	128
*	W_022       	0	0
CASTLE11    		128	128
*	W_074       	0	0
CAVE01      		128	128
*	W_001       	0	0
CAVE02      		128	128
*	W_002       	0	0
CAVE03      		128	128
*	W_003       	0	0
CAVE04      		128	128
*	W_004       	0	0
CAVE05      		128	128
*	W_005       	0	0
CAVE06      		128	128
*	W_006       	0	0
CAVE07      		64	128
*	W_239       	0	0
*	W_239       	0	64
CAVE11      		128	128
*	W_007       	0	0
CAVE12      		128	128
*	W_008       	0	0
CHAP1       		32	32
*	W_356       	0	0
CHAP2       		32	32
*	W_357       	0	0
CHAP3       		32	32
*	W_358       	0	0
CLOCK01     		128	128
*	W_276       	0	0
CLOCK02     		128	128
*	W_277       	0	0
CLOCK03     		128	128
*	W_278       	0	0
CLOCK04     		128	128
*	W_279       	0	0
CLOCK05     		128	128
*	W_280       	0	0
CLOCK06     		128	128
*	W_281       	0	0
CLOCK07     		128	128
*	W_282       	0	0
CLOCK08     		128	128
*	W_283       	0	0
CLOCK11     		128	128
*	W_284       	0	0
CLOCK12     		128	128
*	W_285       	0	0
CLOCK13     		128	128
*	W_286       	0	0
CLOCK14     		128	128
*	W_287       	0	0
CLOCK15     		128	128
*	W_288       	0	0
CLOCK16     		128	128
*	W_289       	0	0
CLOCK17     		128	128
*	W_290       	0	0
CLOCK18     		128	128
*	W_291       	0	0
CLOCKA      		128	128
*	W_275       	0	0
CLOCKB      		128	128
*	W_276       	0	0
CLOCKC      		128	128
*	W_284       	0	0
CRATE01     		64	128
*	W_222       	0	0
*	W_222       	0	64
CRATE02     		64	128
*	W_223       	0	0
*	W_223       	0	64
CRATE03     		64	128
*	W_224       	0	0
*	W_224       	0	64
CRATE04     		64	128
*	W_225       	0	0
*	W_225       	0	32
*	W_225       	0	64
*	W_225       	0	96
CRATE05     		32	128
*	W_226       	0	0
*	W_226       	0	96
*	W_226       	0	64
*	W_226       	0	32
D_AXE       		64	128
*	W_103       	0	-1
*	W_306       	16	46
D_BRASS1    		64	128
*	W_307       	0	0
D_BRASS2    		64	128
*	W_308       	0	0
D_CAST      		64	128
*	W_136       	0	0
*	W_300       	16	56
D_CAVE      		64	128
*	W_136       	0	0
*	W_352       	16	59
D_CAVE2     		128	128
*	W_005       	0	0
*	W_304       	53	69
D_DUNGEO    		64	128
*	W_103       	0	0
*	W_301       	15	47
D_END1      		32	128
*	W_148       	0	0
D_END2      		32	128
*	W_149       	0	0
D_END3      		32	128
*	W_150       	0	0
D_END4      		32	128
*	W_151       	0	0
D_ENDBR     		16	128
*	W_309       	0	0
D_ENDSLV    		16	128
*	W_355       	0	0
D_FIRE      		64	128
*	W_112       	0	0
*	W_299       	28	63
D_RUST      		128	128
*	W_075       	0	0
*	W_323       	90	72
D_SILKEY    		64	128
*	W_103       	0	0
D_SILVER    		64	128
*	W_136       	0	0
*	W_322       	22	63
D_SLV1      		64	128
*	W_353       	0	0
D_SLV2      		64	128
*	W_354       	0	0
D_STEEL     		128	128
*	W_061       	0	0
*	W_305       	49	81
D_SWAMP     		64	128
*	W_101       	0	0
*	W_302       	15	61
D_SWAMP2    		128	128
*	W_002       	0	0
*	W_302       	47	81
D_WASTE     		128	128
*	W_034       	0	0
*	W_303       	47	50
D_WD01      		64	128
*	W_102       	0	0
D_WD02      		64	128
*	W_103       	0	0
D_WD03      		64	128
*	W_104       	0	0
D_WD04      		64	128
*	W_105       	0	0
D_WD05      		64	128
*	W_140       	0	0
D_WD06      		64	128
*	W_141       	0	0
D_WD07      		128	128
*	W_075       	0	0
D_WD08      		64	128
*	W_134       	0	0
D_WD09      		64	128
*	W_135       	0	0
D_WD10      		64	128
*	W_136       	0	0
D_WINNOW    		128	128
*	W_338       	0	0
DOOR51      		128	128
*	W_051       	0	0
FIRE01      		64	128
*	W_106       	0	0
FIRE02      		64	128
*	W_107       	0	0
FIRE03      		64	128
*	W_108       	0	0
FIRE04      		64	128
*	W_109       	0	0
FIRE05      		64	128
*	W_117       	0	0
FIRE06      		64	128
*	W_113       	0	0
FIRE07      		64	128
*	W_112       	0	0
FIRE08      		64	128
*	W_110       	0	0
FIRE09      		64	128
*	W_114       	0	0
FIRE10      		64	128
*	W_116       	0	0
FIRE11      		64	128
*	W_115       	0	0
FIRE12      		64	128
*	W_111       	0	0
FIRE14      		64	128
*	W_126       	0	0
FIRE15      		64	128
